step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: None
            Foods: None
            Dictionary: None</s>","{'Fish': ['E. coli', 'Enterobacter spp.', 'E. cloacae', 'Citrobacter spp.', 'C. braakii', 'Klebsiella spp.', 'K. pneumoniae'], 'Meat': ['E. coli', 'Enterobacter spp.', 'E. cloacae', 'Citrobacter spp.', 'C. braakii', 'Klebsiella spp.', 'K. pneumoniae'], 'Dairy products': ['E. coli', 'Enterobacter spp.', 'E. cloacae', 'Citrobacter spp.', 'C. braakii', 'Klebsiella spp.', 'K. pneumoniae'], 'Microbial hazards': ['E. coli', 'Enterobacter spp.', 'E. cloacae', 'Citrobacter spp.', 'C. braakii', 'Klebsiella spp.', 'K. pneumoniae']}</s>","Microbes can contaminate foodstuffs resulting in foodborne illnesses. Investigating microbial hazards in foods at the point of sale with rapid tools is required to avoid foodborne illness outbreaks. The current study aimed to identify the microbial hazards in food samples collected from retail shops at sale points using MALDI-TOF MS. Food samples were collected from stores and supermarkets in four Delta cities (Tanta, Kutour, Kafr-Elzayat and Benha). Analysis of 178 samples of fish, meat and dairy products revealed 20 different bacterial species. 44.76% of isolates were identified as E. coli, 17.44% were identified as Enterobacter spp. , and E. cloacae was predominant. 12.2% were identified as Citrobacter spp. , and C. braakii was predominant, and 8.7% were identified as Klebsiella spp. , and K. pneumoniae was predominant. Moreover, eight Proteus mirabilis, six Morganella morganii, five Staphylococcus hominis, three Serratia marcescens, two Pseudomonas aeruginosa, one Salmonella typhimurium and one Enterococcus faecalis were detected. Foodstuffs not only be contaminated during production and processing but also during storage and transport. Identification of harmful human pathogens in foodstuffs is alarming and consider threatening to public health. Identification of microbiological hazards in foods using MALDI-TOF MS provides an efficient tool for identifying foodborne pathogens."
"Chemicals: As, Cd, Hg, Pb, Sn
            Foods: seafood, fresh vegetables, cereals, cheese, rice, potatoes, private and well-water supply, wild meat, milk, dairy products, dried fruits and oilseeds
            Dictionary: {
                ""As"": [],
                ""Cd"": [],
                ""Hg"": [seafood, fresh vegetables, cereals, cheese, rice, potatoes, private and well-water supply, wild meat, milk, dairy products, dried fruits and oilseeds],
                ""Pb"": [red meat, caffeinated drinks, and dairy products],
                ""Sn"": []
            }</s>","{'Foods': ['Mothers', 'food', 'water', 'consumption', 'appear', 'to', 'be', 'determining', 'factors', 'for', 'infants', 'potentially', 'toxic', 'elements', 'exposure', 'through', 'human', 'milk', 'Therefore,', 'this', 'systematic', 'review', 'aimed', 'to', 'assess', 'correlations', 'between', 'As,', 'Cd,', 'Hg,', 'Pb', 'and/or', 'Sn', 'concentration', 'in', 'human', 'milk', 'and', 'breastfeeding', 'mothers', 'food', 'consumption', 'with', 'later', 'infants', 'health', 'risk', 'assessment', 'Estimated', 'Daily', 'Intakes', 'such', 'elements', 'by', 'infants', 'were', 'also', 'calculated', 'and', 'compared', 'with', 'reference', 'values', 'RfD', 'or', 'BMDL01', '.', 'Among', '5.663', 'identified', '23', 'papers', 'remained', 'analysis', 'potentially', 'toxic', 'elements', 'concentration', 'human', 'milk', 'presented', 'positive', 'correlation', 'seafood', 'As', 'Hg', 'fresh', 'vegetables', 'Hg', 'Cd', 'cereals', 'Hg', 'Cd', 'cheese', 'rice', 'potatoes', 'private', 'well-water', 'supply', 'Pb', 'wild', 'meat', 'Pb', 'Cd', 'milk', 'dairy', 'products', 'dried', 'fruits', 'oilseeds', 'Cd', 'mothers', 'consumption', 'red', 'meat', 'caffeinated', 'drinks', 'dairy', 'products', 'presented', 'negative', 'correlations', 'Pb', '.', 'No', 'correlations', 'found', 'S","Mothers' food and water consumption appear to be determining factors for infants' potentially toxic elements exposure through human milk. Therefore, this systematic review aimed to assess correlations between As, Cd, Hg, Pb and/or Sn concentration in human milk and breastfeeding mothers' food consumption, with later infants' health risk assessment. Estimated Daily Intakes of such elements by infants were also calculated and compared with reference values (RfD or BMDL01). Among 5.663 identified studies, 23 papers remained for analysis. Potentially toxic elements concentration in human milk presented positive correlation with seafood (As, Hg), fresh vegetables (Hg, Cd), cereals (Hg, Cd), cheese, rice, potatoes, private and well-water supply (Pb), wild meat (Pb, Cd) and milk, dairy products, dried fruits and oilseeds (Cd) mothers' consumption. Red meat, caffeinated drinks, and dairy products consume presented negative correlations (Pb). No correlations were found for Sn. Infants from three studies presented high Hg exposition through human milk (> 0. 1 μg/kg PC-1 day-1), as well as observed for Pb in one study (> 0. 5 μg/kg PC-1 day-1). Potentially toxic elements can damage infants' health when they are present in mothers' diet due to the infants' high vulnerability. Therefore, these results raise important issues for public health."
"Chemicals: Aflatoxin M1 (AFM1)
Foods: Milk and value added dairy products
Dictionary: {
    ""Milk"": {
        ""Aflatoxin M1 (AFM1)"": 2.608
    },
    ""Value added dairy products"": {
        ""Aflatoxin M1 (AFM1)"": 2.608
    }
}</s>",{'Milk': ['Aflatoxin M1 (AFM1)']}</s>,"Milk containing Aflatoxin M1 (AFM1) poses a serious health risk to consumers. Present study was undertaken to determine levels of AFM1 in 146 milk and value added dairy products sold in retail markets of Chhattisgarh, India using HPLC coupled with fluorescence detector. A total of 52 samples (35.6%) were found to contain AFM1 with overall concentrations ranging from nd - 2.608 µg/L. The contamination levels were higher in non-fermented milk products than fermented milk products samples, although this difference was statistically non-significant (p > 0.05). AFM1 concentrations above maximum permissible limits established by the European Commission were found in 94.2% of positive samples. Health risk assessments ascertained that the estimated daily intakes for AFM1 is higher than the established tolerable daily intakes for both adults and children (Hazard Index > 1), there by implying a potentially high risk to consumer's health. Current investigation provides valuable information regarding contamination of raw as well as value added milk products sold in Indian markets. Therefore, to protect consumer's health and promote dairy trade; there is an urgent need to increase farmer's knowledge on good storage practices of feed and fodder. Further, stringent enforcement of food safety regulations is imperative to safeguard and promote human health."
"Chemicals: None
            Foods: Burrata cheese
            Dictionary: {}</s>","{'Burrata cheese': ['Escherichia coli', 'Staphylococcus aureus', 'Salmonella spp.', 'Listeria monocytogenes']}</s>","Burrata cheese is a popular typical Italian food product, produced in Puglia (an administrative region of southern Italy), and this study investigated the microbiological quality of 404 samples of this cheese. The samples were analyzed in order to quantify Escherichia coli and to detect the presence of Staphylococcus aureus, Salmonella spp. , and Listeria monocytogenes. No sample exceeded the values of E. coli set by EC Regulation 1441/07 for some dairy products, while 15 (3.7%) samples tested coagulase-positive staphylococci positive, with values greater than 10(3) CFU/g. One strain of S. aureus was identified and characterized from each of these positive samples, and of these strains, 7 (46.6%) produced staphylococcal enterotoxin A, 5 (33.3%) produced staphylococcal enterotoxin C, 2 (13.3%) produced staphylococcal enterotoxin D, and 1 (6.6%) produced both staphylococcal enterotoxins A and D. All strains were mecA negative. The 15 S. aureus isolates were tested for their antimicrobial resistance patterns, and all analyzed strains showed antimicrobial resistance properties for at least one of the tested antibiotics. Testing for the other pathogens mentioned above gave negative results. The results of our study mean that the microbiological quality of Burrata cheese can be assumed to be good, although care must be taken with raw materials and good hygiene during processing in order to guarantee greater food safety."
"Chemicals: None
Foods: milk, infant milk formula
Dictionary: {}</s>","{'milk': ['chemical1', 'chemical2']}</s>","A series of food safety incidents related to domestically produced dairy in China harmed consumer confidence and caused a dramatic decrease in dairy consumption from 2008 to 2010. Compared with previous studies that mainly assessed consumer confidence in food or dairy in general, this study focused on 2 specific dairy products, milk and infant milk formula (IMF). Based on data from 934 Chinese consumers, confidence in the safety of milk and IMF was measured by using a multi-item scale with 2 dimensions-optimism and pessimism. We found that Chinese consumers were optimistic about the safety of milk and IMF but, at the same time, were concerned about the risks related to milk and IMF. Chinese consumers have less confidence in IMF than in milk. Structural equation modeling indicated that consumer trust in manufacturers and third parties in the dairy supply chain and confidence in other foods, such as meat and fish, can foster consumer confidence in the safety of milk and IMF, while the extent of recall of the melamine infant formula incident in 2008 and trait worry exert negative effects. In addition, consumers with more children or less family income are likely to be more confident in domestically produced IMF. These insights into consumer confidence and its determinants can assist dairy supply chains and regulatory institutions in formulating effective risk communication strategies to strengthen consumer confidence."
"Chemicals: None
            Foods: None
            Dictionary: {}</s>",{'Milk-based infant formulae': ['Salmonella Bredeney']}</s>,"In 1977 two major outbreaks of salmonella infection originated in Victoria. The first of these, involving Salmonella Bredeney, continued over some seven months and was traced to contamination of powdered milk-based infant formulae during manufacture. This caused cases of gastroenteritis among young children throughout Australia. Another incident led to the discovery that salmonella serovars were colonising not one, but a number of dairy factories through the State. The second outbreak was of typhoid, stemming from a carrier working in a sandwich bar, and occurred during the course of the first, almost overwhelming public health resources and delaying investigation of the first outbreak. The background, recognition, course, investigation and resolution of these, previously unpublished, outbreaks are described, drawing upon the experiences of authors involved at the clinical, public health and laboratory levels, and preserved, contemporary records. Taken together, these outbreaks directly stimulated radical improvements in the construction and management of dairy factories in the State; initiated the adoption of risk management concepts in food factories; caused the launch of regional regulations compelling notification of salmonellas found in food manufacture; and led to the setting-up of an enhanced national, laboratory-based system for the collection, analysis and dissemination of information on enteric pathogens."
"Chemicals: None
            Foods: None
            Dictionary: None</s>",{'Corn': ['Aflatoxins']}</s>,"Aflatoxins are toxic fungal metabolites found in foods and feeds. When ruminants eat AFB(1)-feedstuffs, they metabolise the toxin and excrete AFM(1) in milk. To control AFM(1) in foods it is necessary to reduce AFB(1) contamination of feeds for dairy cattle by preventing fungal growth and AFB(1) formation in agricultural commodities intended for animal use. Corn and corn-based products are one of the most contaminated feedstuffs; therefore risk factor analysis of AFB(1) contamination in corn is necessary to evaluate risk of AFM(1) contamination in milk and milk products. During the corn silage production, the aflatoxins production is mostly influenced by: harvest time; fertilization; irrigation; pest control; silage moisture; and storage practices. Due to the lower moisture at harvest and to the conservation methods, the corn grain is mostly exposed to the contamination by Aspergillus species. Therefore, it is necessary to reduce the probability of this contaminant through choice of: hybrids; seeding time and density; suitable ploughing and fertirrigation; and chemical or biological control. Grains harvested with the lowest possible moisture and conservation moisture close to or less than 14% are necessary to reduce contamination risks, as is maintaining mass to homogeneous moisture. Kernel mechanical damage, grain cleaning practices and conservation temperature are also factors which need to be carefully controlled."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'dairy products': ['Staphylococcus aureus']}</s>,"Staphylococcus aureus is a major causative pathogen of clinical and subclinical mastitis of dairy domestic ruminants. This organism produces a variety of extracellular toxins and virulence factors such as enterotoxin SEI and SEJ that contribute to its pathogenic potential. In this study 25 S. aureus isolates obtained from four dairy herds of Urmia region which is located in West Azerbaijan province in Iran. The tested isolates were identified on the basis of the cultural and biochemical properties, as well as amplification of the aroA gene which is specific for S. aureus. All isolates were also analyzed for the presence of the SEI (sei) and SEJ (sej) encoding genes using polymerase chain reaction (PCR). Seven positive isolates were detected for sei, but sej gene was not detected in any of the total number of 25 isolates. The present study revealed that the PCR amplification of the aroA gene could be used as a powerful tool for identification of S. aureus from the cases of bovine mastitis. Results of the present study also showed that the strains of S. aureus which cause mastitis can potentially produce enterotoxin SEI. Overall, our results suggest that it is of special importance to follow the presence of enterotoxin-producing S. aureus in other dairy products, especially for protecting the consumers from staphylococcal food poisoning."
"Chemicals: [aflatoxins B1 , B2 , G1 , G2 , M1 , and M2 ; fumonisins B1 and B2 ; ochratoxin A; zearalenone; zearalanone; α-zearalanol; α-zearalenol; T-2 toxin; deoxynivalenol; deepoxy-deoxynivalenol; and sterigmatocystin]
Foods: [milk and dairy products]
Dictionary: {
    'aflatoxin B1': 'dairy products',
    'aflatoxin B2': 'dairy products',
    'aflatoxin G1': 'dairy products',
    'aflatoxin G2': 'dairy products',
    'aflatoxin M1': 'dairy products',
    'fumonisin B1': 'dairy products',
    'fumonisin B2': 'dairy products',
    'ochratoxin A': 'dairy products',
    'zearalenone': 'dairy products',
    'zearalanone': 'dairy products',
    'α-zearalanol': 'dairy products',
    'α-zearalenol': 'dairy products',
    'T-2 toxin': 'dairy products',
    'deoxynivalenol': 'dairy products',
    'deepoxy-deoxynivalenol': 'dairy products',
    'sterigmatocystin': 'dairy products'
}</s>","{'dairy products': ['aflatoxin B1', 'aflatoxin B2', 'fumonisins B1', 'fumonisins B2', 'ochratoxin A', 'zearalenone', 'zearalanone', 'α-zearalanol', 'α-zearalenol', 'T-2 toxin', 'deoxynivalenol', 'deepoxy-deoxynivalenol', 'sterigmatocystin']}</s>","An liquid chromatography-tandem mass spectrometry method coupled with a stable isotope dilution assay was established for the simultaneous detection of 17 mycotoxins and their derivatives (aflatoxins B1 , B2 , G1 , G2 , M1 , and M2 ; fumonisins B1 and B2 ; ochratoxin A; zearalenone; zearalanone; α-zearalanol; α-zearalenol; T-2 toxin; deoxynivalenol; deepoxy-deoxynivalenol; and sterigmatocystin) in milk and dairy products. The mycotoxins were extracted with acidified acetonitrile and the lipids were removed using a Captiva EMR-lipid column. The average recoveries of the target compounds from samples spiked at three different concentrations were 67-102%, and the relative standard deviations of the peak areas were less than 10%. Limits of quantification (S/N = 10) of 0.004-1.25 μg/kg were achieved, which are significantly lower than the maximum levels allowed in various countries and regions for each regulated mycotoxin. Milk and yogurt products from local markets and e-commercial platforms were analyzed using the optimized method. The screening showed that aflatoxin M1 , deoxynivalenol, fumonisins B1 and B2 , and zearalenone could be found in milk and yogurt products, especially those products also containing grains or jujube ingredients, indicating that there is a risk of mycotoxins in dairy products."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Brucella' : ['livestock workers', 'livestock holders', 'unpasteurised milk', 'uncooked meat and its products', 'co-habitation with animals', 'poor hygiene']}</s>","Brucellosis is an endemic disease in the animal population in Nigeria and of major public health importance, particularly amongst livestock workers who are ignorant of the risk of Brucella infection. Therefore, to gain insight into the knowledge and practices related to brucellosis transmission amongst livestock holders (LH) and livestock marketers (LM) in Yewa, an international livestock trading centre in south-western Nigeria, we conducted an interviewbased study using a cluster sampling technique. In all, a total of 157 respondents comprising 54 LH and 103 LM were interviewed. Two-thirds (69.5%) of the two groups had poor knowledge of brucellosis with no significant difference between them (p = 0.262). Furthermore, consumption of unpasteurised milk, uncooked meat and its products, co-habitation with animals, and poor hygiene were significant risk practices identified as possible means of transfer of Brucella infection from animals to humans amongst these livestock workers (p &lt; 0.05). In conclusion, our findings revealed that poor knowledge and practices related to the consumption of unpasteurised or unboiled dairy products, contaminated beef, and unhygienic practices are factors that will facilitate Brucella infections amongst livestock workers in Nigeria. Therefore, there is a need for more public health enlightenment programmes, as well as implementation of brucellosis control measures in the cattle populations."
"Chemicals: None
            Foods: None
            Dictionary: {}</s>","{'Exotic food dishes': ['pathogens', 'Diphyllobothrium latum infection', 'flukes', 'anisakidosis', 'gnathostomiasis', 'sparganosis', 'trichinellosis', 'dysentery', 'amebiasis', 'toxoplasmosis', 'Taenia infections', 'novel viral infections', 'poultry', 'dairy', 'pathogens']}</s>","""Exotic"" food dishes are an expression of regional culture, religion, and ethnicity worldwide. With the increase in international travel to remote areas of the world, globalization of the food supply, and changes in food habits, more people are consuming dishes once considered exotic. Such behavioral changes require awareness by consumers and clinicians about the risks of food-borne infections. This chapter addresses pathogens associated with consumption of raw or undercooked seafood including anisakidosis, Diphyllobothrium latum infection, flukes, and other infectious and toxin-mediated diseases. We discuss the geographic distribution of the pathogens, symptomatology, and basic principles of treatment. Food products derived from turtles, snakes, and other reptiles are reviewed, and we address the risk of gnathostomiasis, sparganosis, trichinellosis, and other pathogens. In discussing infections associated with undercooked beef, pork, and bush meat, we address dysentery, amebiasis, toxoplasmosis, Taenia infections, and risks of novel viral infections, among others. We also review infectious risks from poultry, dairy, and other food items, focusing on those organisms encountered less frequently by clinicians in developed countries. The wide range of infectious organisms related to exotic cuisine underscores the importance of educating the adventurous traveler and warrants continued vigilance on the part of the clinician."
"Chemicals: [['peptides', 'neuroactive compounds', 'hormones', 'drugs', 'pesticides', 'carcinogens', 'environmental pollutants'], ['vitamins']]
Foods: [['breast-fed infants', 'dairy consumers']]
Dictionary: {
    'peptides': ['neuroactive compounds', 'hormones'],
    'neuroactive compounds': ['hormones'],
    'hormones': ['peptides', 'neuroactive compounds'],
    'drugs': ['pesticides', 'carcinogens', 'environmental pollutants'],
    'pesticides': ['carcinogens', 'environmental pollutants'],
    'carcinogens': ['environmental pollutants'],
    'environmental pollutants': ['drugs', 'pesticides', 'carcinogens'],
    'vitamins': []
}</s>","{'milk': ['vitamins', 'peptides', 'neuroactive compounds', 'hormones', 'drugs', 'pesticides', 'carcinogens', 'environmental pollutants']}</s>","A large number of nutrients and bioactive ingredients found in milk play an important role in the nourishment of breast-fed infants and dairy consumers. Some of these ingredients include physiologically relevant compounds such as vitamins, peptides, neuroactive compounds and hormones. Conversely, milk may contain substances-drugs, pesticides, carcinogens, environmental pollutants-which have undesirable effects on health. The transfer of these compounds into milk is unavoidably linked to the function of transport proteins. Expression of transporters belonging to the ATP-binding cassette (ABC-) and Solute Carrier (SLC-) superfamilies varies with the lactation stages of the mammary gland. In particular, Organic Anion Transporting Polypeptides 1A2 (OATP1A2) and 2B1 (OATP2B1), Organic Cation Transporter 1 (OCT1), Novel Organic Cation Transporter 1 (OCTN1), Concentrative Nucleoside Transporters 1, 2 and 3 (CNT1, CNT2 and CNT3), Peptide Transporter 2 (PEPT2), Sodium-dependent Vitamin C Transporter 2 (SVCT2), Multidrug Resistance-associated Protein 5 (ABCC5) and Breast Cancer Resistance Protein (ABCG2) are highly induced during lactation. This review will focus on these transporters overexpressed during lactation and their role in the transfer of products into the milk, including both beneficial and harmful compounds. Furthermore, additional factors, such as regulation, polymorphisms or drug-drug interactions will be described."
"Chemicals: None
Foods: None
Dictionary: {}</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","Cyanobacterial blooms commonly appear during the summer months in ponds, lakes and reservoirs in Bangladesh. In these areas, fish mortality, odorous water and fish and human skin irritation and eye inflammation have been reported. The influence of physicochemical factors on the occurrence of cyanobacteria and its toxin levels were evaluated in natural and drinking water in Bangladesh. A highly sensitive immunosorbent assay was used to detect microcystins (MCs). Cyanobacteria were found in 22 of 23 samples and the dominant species were Microcystis aeruginosa, followed by Microcystisflosaquae, Anabeana crassa and Aphanizomenon flosaquae. Cyanobacterial abundance varied from 39 to 1315 x 10(3) cells mL(-1) in natural water and 31 to 49 x 10(3) cells mL(-1) in tap water. MC concentrations were 25-82300 pg mL(-1) with the highest value measured in the fish research pond, followed by Ishakha Lake. In tap water, MC concentrations ranged from 30-32 pg mL(-1). The correlation between nitrate-nitrogen (NO3-N) concentration and cyanobacterial cell abundance was R2 = 0.62 while that between cyanobacterial abundance and MC concentration was R2 = 0.98. The increased NO3-N from fish feed, organic manure, poultry and dairy farm waste and fertilizer from agricultural land eutrophicated the water bodies and triggered cyanobacterial bloom formation. The increased amount of cyanobacteria produced MCs, subsequently reducing the water quality."
"Chemicals: None
Foods: None
Dictionary: None</s>",{'dairy cows': ['dioxin-contaminated mineral supplement']}</s>,"A dioxin-contaminated mineral supplement was used to study the bioaccumulation and elimination of dioxins in two dairy cows. The supplement was mixed into the total maintenance ration and fed to the cows for 40 days after which unfortified diets were fed for 40 additional days. Dioxins and coplanar polychlorinated biphenyls (PCBs) were measured twice a week in the milk and in selected tissues of the cows, one at death (day 10 of withdrawal) and one at slaughter (day 40 of withdrawal). The dioxins and PCBs were readily transferred into the milk, and at steady state, total toxic equivalents were concentrated 6-fold into the milk fat from the diet. Bioaccumulation was inversely related to chlorination number. The elimination of dioxins and PCBs in milk was biphasic. With the exception of 1,2,3,4,6,7,8-heptachlorodioxin and both octachlorinated congeners, dioxin and furan half-lives in milk were approximately 3-5 days for the alpha-phase and 35-50 days for the beta-phase. PCB-169 had a longer half-life: 11 (alpha) and 200 days (beta). When milk and feed samples from Minnesota farms that had used similar contaminated mineral supplements were analyzed, no elevated dioxin levels were found in milk. It appeared that although the dioxins from the mineral supplements have the potential to bioaccumulate, dilution into the total diet was sufficient to prevent a significant rise in the dioxin concentrations in the milk at these farms."
"Chemicals: None
            Foods: None
            Dictionary: {}</s>","{'Fresh Cheese': ['B. abortus RB51', 'B. abortus S19', 'B. abortus 2308'], 
             'Ripened Cheese': ['B. abortus RB51', 'B. abortus S19', 'B. abortus 2308']}</s>","Brucellosis is a zoonotic infection caused by the consumption of contaminated raw milk and dairy products. This study aims to compare survival rates of Brucella abortus RB51 and S19 vaccine strains to that of virulent B. abortus 2308 strain during the manufacture of fresh and ripened cheeses. To do this, we inoculated fresh pasteurized milk with B. abortus RB51, S19, or 2308 at a 6 × 108 colony-forming unit per milliliter concentration during the cheese making process. Cheese was manufactured at room temperature, then, fresh cheeses were conserved at either 4°C or 25°C for 7 days, while ripened cheeses were conserved for 31 days at the same temperatures. We measured B. abortus survival and pH values during different stages of the process. Our results confirm that all three strains can maintain viable cells in both types of cheeses throughout the process. Survival of B. abortus RB51 was 10 times lower than was the survival of the B. abortus S19 and B. abortus 2308 strains in both fresh and ripened cheeses. Our results also suggest that both temperature and pH can condition Brucella survival. In conclusion, B. abortus RB51 and S19 vaccine strains can survive throughout the manufacture and conservation processes of both fresh and ripened cheeses. In turn, this implies a potential health risk if cheeses contaminated with these strains were to be consumed."
"Chemicals: Ciprofloxacin (CIP), chloramphenicol (CAP)
            Foods: dairy products
            Dictionary: {
                ""CIP"": {
                    ""dairy products"": ""contaminant""
                },
                ""CAP"": {
                    ""dairy products"": ""contaminant""
                }
            }</s>",{'Ciprofloxacin': ['chloramphenicol']}</s>,"Ciprofloxacin (CIP) and chloramphenicol (CAP) are relevant antibiotics of the fluoroquinolone (FQ) and amphenicol (AP) groups, respectively, widely used in veterinary practice and they contaminate agricultural products. In this study, a rapid and sensitive immunochromatographic assay (ICA) was developed for simultaneous detection of CIP and CAP in dairy products. The ICA was carried out in a direct competitive format using gold nanoparticles as a label. The ICA developed here allowed for the detection of CIP and CAP in Triton X-100-containing buffered saline (PBST) within 15 min with instrumental detection limits of 20 pg mL-1 and 0.5 ng mL-1 , respectively, and with a visual detection limit of 5 ng mL-1 for both antibiotics. The ICA showed cross-reactivity (69-160%) to 19 antibiotics in the FQ group and no cross-reactivity (<0.1%) to 2 antibiotics of the AP group. The ICA allowed detection of CIP and CAP in a panel of dairy products by employing a simple procedure of preliminary sample preparation. The detection limits for the two antibiotics were the same as in PBST. The analytical recoveries of CIP and CAP in dairy products ranged from 83% to 120%. The analytical characteristics of the test system allow its use for the detection of antibiotics in milk and dairy products during all steps of production."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","{'Dairies within the United Kingdom are classified into two groups, namely, off-farm and on-farm dairies (the latter often being small scale). We propose a model for the probability of milk sold as pasteurized reaching the point of retail contaminated with Vero-cytotoxigenic Escherichia coli (VTEC) O157 from each of these two pathways. We evaluate qualitatively the exposures inherent in each, and compare and contrast the two situations. The model framework is generic, in that it can in principle be used, with the relevant data modifications, to provide a qualitative assessment of the likely exposure from milk sold as pasteurized to any potentially milk-borne pathogenic organism. Furthermore, the methodological approaches presented are widely applicable in the microbial risk assessment field. The specific example presented will be of particular interest to the UK dairy and public health communities: we conclude that the exposure potential per liter consumed from milk processed in off-farm dairies is negligible, whereas the exposure potential per liter consumed from milk processed on-farm is low, but not sufficiently small to be regarded as negligible. We also identify areas of data sparsity, which need to be addressed for quantitative risk assessment to proceed, and highlight the critical points in the pasteurized milk production chain, which, in the event of a breakdown, have the potential to increase the risk to the consumer.'}</s>","Dairies within the United Kingdom are classified into two groups, namely, off-farm and on-farm dairies (the latter often being small scale). We propose a model for the probability of milk sold as pasteurized reaching the point of retail contaminated with Vero-cytotoxigenic Escherichia coli (VTEC) O157 from each of these two pathways. We evaluate qualitatively the exposures inherent in each, and compare and contrast the two situations. The model framework is generic, in that it can in principle be used, with the relevant data modifications, to provide a qualitative assessment of the likely exposure from milk sold as pasteurized to any potentially milk-borne pathogenic organism. Furthermore, the methodological approaches presented are widely applicable in the microbial risk assessment field. The specific example presented will be of particular interest to the UK dairy and public health communities: we conclude that the exposure potential per liter consumed from milk processed in off-farm dairies is negligible, whereas the exposure potential per liter consumed from milk processed on-farm is low, but not sufficiently small to be regarded as negligible. We also identify areas of data sparsity, which need to be addressed for quantitative risk assessment to proceed, and highlight the critical points in the pasteurized milk production chain, which, in the event of a breakdown, have the potential to increase the risk to the consumer."
"Chemicals: None
Foods: Escherichia coli, Listeria monocytogenes, Bacillus cereus, Clostridium perfringens, Salmonella
Dictionary: {}</s>","{'Meat': ['Escherichia coli', 'Listeria monocytogenes'],
 'Dairy': ['Escherichia coli', 'Listeria monocytogenes'],
 'Egg': ['Escherichia coli', 'Listeria monocytogenes'],
 'Seafood': ['Escherichia coli', 'Listeria monocytogenes', 'Bacillus cereus', 'Clostridium perfringens', 'Salmonella']}</s>","An experimental protocol to validate secondary-model application to foods was suggested. Escherichia coli, Listeria monocytogenes, Bacillus cereus, Clostridium perfringens, and Salmonella were observed in various food categories, such as meat, dairy, egg, or seafood products. The secondary model validated in this study was based on the gamma concept, in which the environmental factors temperature, pH, and water activity (aw) were introduced as individual terms with microbe-dependent parameters, and the effect of foodstuffs on the growth rates of these species was described with a food- and microbe-dependent parameter. This food-oriented approach was carried out by challenge testing, generally at 15 and 10 degrees C for L. monocytogenes, E. coli, B. cereus, and Salmonella and at 25 and 20 degrees C for C. perfringens. About 222 kinetics in foods were generated. The results were compared to simulations generated by existing software, such as PMP. The bias factor was also calculated. The methodology to obtain a food-dependent parameter (fitting step) and therefore to compare results given by models with new independent data (validation step) is discussed in regard to its food safety application. The proposed methods were used within the French national program of predictive microbiology, Sym'Previus, to include challenge test results in the database and to obtain predictive models designed for microbial growth in food products."
