step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: Aflatoxin B1
Foods: Maize
Dictionary: {
    ""Maize"": ""Aflatoxin B1""
}</s>",{'Foods': ['Maize']}</s>,"Aflatoxin (AF) B1 is a main contaminant in diverse agricultural products. In an attempt to reduce this problem and the hazards to human health, an AFB1 inactivating system with ammonia has been developed. In this work we evaluated the efficiency of the system in mice using micronucleus (MN) and sister chromatid exchange (SCE) analysis. Four groups of animals were fed for 8 weeks with a special diet mainly composed of maize: (1) uncontaminated; (2) uncontaminated/inactivated; (3) contaminated/inactivated; and (4) contaminated. We evaluated MN at weekly intervals in peripheral blood, and in weeks 4 and 8 SCE frequencies were quantified in bone marrow cells. The results shows that animals fed with AFB1 contaminated/inactivated maize had a 45% lower level of induced cytogenetic damage than those animals fed with AFB1 contaminated but not inactivated maize. A residual amount of AFB1 after the inactivating treatment and reconversion back to AFB1 in the organism may account for the remaining increased levels of SCE and MN."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Honey': ['Corn syrup', 'Agave syrup', 'Sugarcane molasses']}</s>","This work proposes the use of UV-Vis spectroscopy and one-class classifiers to authenticate honey in terms of their individual and simultaneous adulterations with corn syrup, agave syrup, and sugarcane molasses. Then, spectra of aqueous authentic (n = 73) and adulterated (n = 162) honey samples were recorded. Before the construction of OC-PLS and DD-SIMCA models, different pre-processing techniques were used to removed baseline shifts. The best result obtained by DD-SIMCA using offset correction, correctly classifying all the samples in the test set. Therefore, the proposed methodology can be used as a promising tool to authenticate honey and prevent fraudulent labeling, affording security to consumers and providing an alternative to regulatory agencies. Moreover, it avoids laborious sample preparation and additional operational costs, since the analytical information is acquired using a routine instrumental technique, without the need for any sample preparation step, other than dilution of the samples in water alone."
"Chemicals: methoxyfenozide
Foods: table and wine grapes, maize and sweet corn, fruiting vegetables (tomato, pepper, aubergine) and leaf vegetables (lettuce and other salad plants, spinach and similar, herbs)
Dictionary: {
'table and wine grapes': ['methoxyfenozide'],
'maize and sweet corn': ['methoxyfenozide'],
'fruiting vegetables (tomato, pepper, aubergine)': ['methoxyfenozide'],
'leaf vegetables (lettuce and other salad plants, spinach and similar, herbs)': ['methoxyfenozide']
}</s>","{'Grapes': ['methoxyfenozide'], 'Wine grapes': ['methoxyfenozide'], 'Maize and sweet corn': ['methoxyfenozide'], 'Fruiting vegetables (tomato, pepper, aubergine)': ['methoxyfenozide'], 'Leaf vegetables (lettuce and other salad plants, spinach and similar, herbs)': ['methoxyfenozide']}</s>","The conclusions of EFSA following the peer review of the initial risk assessments carried out by the competent authorities of the rapporteur Member State, the United Kingdom, and co-rapporteur Member State, Slovakia, for the pesticide active substance methoxyfenozide and the assessment of applications for maximum residue levels (MRLs) are reported. The context of the peer review was that required by Commission Implementing Regulation (EU) No 844/2012. The conclusions were reached on the basis of the evaluation of the representative use of methoxyfenozide as an insecticide on table and wine grapes, maize and sweet corn, fruiting vegetables (tomato, pepper, aubergine) and leaf vegetables (lettuce and other salad plants, spinach and similar, herbs). MRLs were assessed in grape leaves and sweet corn. The reliable end points, appropriate for use in regulatory risk assessment and the proposed MRLs, are presented. Missing information identified as being required by the regulatory framework is listed. Concerns are identified."
"Chemicals: PCB 118
Foods: Sprague Dawley rats
Dictionary: {
    'Sprague Dawley rats': {
        'PCB 118': 'hazardous',
        '2 p. p. b. ': 'contaminant',
        '10 p. p. b. ': 'potentially harmful for human health via consumption',
        '100 p. p. b. ': 'potentially harmful for human health via consumption',
        '1000 p. p. b. ': 'potentially harmful for human health via consumption',
        '20 p. p. b. ': 'contaminant',
        '200 p. p. b. ': 'hazardous',
        '2000 p. p. b. ': 'hazardous',
        '10000 p. p. b. ': 'potentially harmful for human health via consumption'
    }
}</s>","{'PCB 118': ['2 p. p. b. ', '20 p. p. b. ', '200 p. p. b. ', '2000 p. p. b. ', '1000 p. p. b. ', '10000 p. p. b. ']}</s>","Polychlorinated biphenyls (PCBs) are ubiquitous environmental contaminants that bioaccumulate in the food chain and thus pose a health risk to humans and other animals. In this study, PCB 118 was added to the diets of Sprague Dawley rats for 13 weeks in concentrations of 2, 20, 200, 2000 p. p. b. to the females and 10, 100, 1000 and 10000 p. p. b. to the males. The chemical was dissolved in corn oil; animals that served as the control received corn oil in the diets devoid of PCB. Use of transmission electron microscopy and stereology revealed significant (P<0.05) elevation in the mean volume fraction of smooth reticulum profiles (20 p. p. b. ), peroxisomes (200, 2000 p. p. b. ) and lipid droplets (2000 p. p. b. ) in the females. Hepatocytes from the males exhibited a significant increase in the mean volume fraction of lipid droplets at 10000 p. p. b. (P<0.05). Interactions between large quantity of estrogen and the PCB probably would account for more profound alterations in the liver of female Sprague-Dawley rats than in the males."
"Chemicals: [['zearalenone', 'ZEN']]
            Foods: []
            Dictionary: {
                'zearalenone': 'ZEN'
            }</s>",{'Corn': ['Zearalenone (ZEN)']}</s>,"Mycotoxin contamination is a severe threat to global food security, thus fast and effective detection of mycotoxins is of great significance. Herein, mesoporous silica surface loaded gold nanocomposites (MSN-Rh6G-AuNPs) were prepared as surface-enhanced Raman scattering (SERS) substrate, and the SERS aptasensor (MSN-Rh6G-AuNPs@apt) was further obtained by aptamer functionalization which can realize the quantitative and sensitive detection of zearalenone (ZEN). The small nanogaps between AuNPs made MSN-Rh6G-AuNPs present strong SERS performance under excitation light irradiation, while the aptamer performed the functions of ZEN recognition and Raman signal masking. The acquired results revealed that the SERS intensity at 1508 cm-1 had a good linear relationship with ZEN concentration of 3-200 ng/mL and the limit of detection (LOD) was calculated to be 0.0064 ng/mL. In addition, the designed SERS aptasensor was successfully applied to the detection of ZEN in corn, indicating great potential in practical implications."
"Chemicals: deoxynivalenol, deoxynivalenol 3-glucoside, 3-acetyl-deoxynivalenol, 15-acetyl-deoxynivalenol
Foods: corn kernels, corn-based products
Dictionary: {
    'deoxynivalenol': {
        'corn kernels': 1884,
        'corn-based products': 1580
    },
    'deoxynivalenol 3-glucoside': {
        'corn kernels': 9,
        'corn-based products': 20
    },
    '3-acetyl-deoxynivalenol': {
        'corn kernels': 0,
        'corn-based products': 0
    },
    '15-acetyl-deoxynivalenol': {
        'corn kernels': 0,
        'corn-based products': 0
    }
}</s>","{'Corn kernels': ['Deoxynivalenol', 'Deoxynivalenol 3-glucoside', '3-Acetyl-deoxynivalenol', '15-Acetyl-deoxynivalenol']}</s>","A total of 969 corn kernels and corn-based products collected from 24 provinces in China between 2008 and 2011 were analyzed for deoxynivalenol, deoxynivalenol 3-glucoside, 3-acetyl-deoxynivalenol, and 15-acetyl-deoxynivalenol by ultraperformance liquid chromatography-tandem mass spectrometry (UPLC-MS/MS). Deoxynivalenol was the predominant mycotoxin detected. A total of 29 out of 969 samples (corn kernels: 9/289, mean = 1884 μg/kg; corn-based products: 20/680, mean = 1580 μg/kg) contain deoxynivalenol at the levels exceeding the Chinese regulatory limit of 1000 μg/kg for deoxynivalenol in corn. The average relative concentration ratios (%) for deoxynivalenol 3-glucoside/deoxynivalenol for all four years were 25% ± 5% in corn kernels and 34% ± 4% in corn-based products. The results of this study indicate that it is necessary to include deoxynivalenol 3-glucoside in both risk assessment of deoxynivalenol and its derivatives and development of the tolerance limit for deoxynivalenol in Chinese corn kernels and corn-based products."
"Chemicals: AFB1
Foods: corns
Dictionary: {corns: AFB1}</s>",{'Corns': ['Aflatoxin B1 (AFB1)']}</s>,"Aflatoxin B1 (AFB1) that is prone to contaminate corns brings a serious threat to human health. Therefore, it is of great significance to construct novel detection methods for AFB1 tracing. Here, methylamine perovskite quantum dots (MP QDs) encapsulated by ZIF-8 metal-organic frameworks (MP QDs@ZIF-8) were prepared and then ultra-stable electrochemiluminescence (ECL) sensors were developed. By the confinement of cavities structure, multiple MP QDs were crystallized and embedded inside ZIF-8 to form MP QDs@ZIF-8, achieving stable and robust ECL responds in aqueous environment. Further combined with AFB1-imprinted polymer, the constructed ECL sensor showed good selectivity and ultra-sensitivity (the detection limit was 3.5 fg/mL, S/N = 3) with a wide linear range from 11.55 fg/mL to 20 ng/mL for AFB1 quantification. Satisfactory recoveries in corn samples indicated the reliable practicability of the proposed sensor for AFB1 assay. This work provided a novel pathway in designing high-performance ECL sensing platform for food safety."
"Chemicals: aflatoxin B1, B2, G1, and G2, ochratoxin A, and fumonisin B1, B2, and B3
Foods: peanut butter, corn products, corn, peanuts, buckwheat flour, dried buckwheat noodles, rice, sesame oil, oatmeal, wheat flour, rye, buckwheat flour, green coffee beans, roasted coffee beans, raisins, beer, and wine
Dictionary: {
    'peanut butter': 'aflatoxin B1',
    'corn products': '',
    'corn': '',
    'peanuts': '',
    'buckwheat flour': '',
    'dried buckwheat noodles': '',
    'rice': '',
    'sesame oil': '',
    'oatmeal': 'ochratoxin A',
    'wheat flour': 'ochratoxin A',
    'rye': '',
    'buckwheat flour': 'ochratoxin A',
    'green coffee beans': 'fumonisin B1, B2, and B3',
    'roasted coffee beans': 'fumonisin B1, B2, and B3',
    'raisins': 'fumonisin B1, B2, and B3',
    'beer': 'fumonisin B1, B2, and B3',
    'wine': 'fumonisin B1, B2, and B3'
}</s>","{'peanut butter': ['aflatoxin B1', 'aflatoxin B2', 'aflatoxin G1', 'aflatoxin G2']}</s>","We conducted a survey of aflatoxin B1, B2, G1, and G2, ochratoxin A, and fumonisin B1, B2, and B3 contamination in various foods on the retail market in Japan in 2004 and 2005. The mycotoxins were analyzed by high-performance liquid chromatography, liquid chromatography-mass spectrometry, or high-performance thin-layer chromatography. Aflatoxins were detected in 10 of 21 peanut butter samples; the highest concentration of aflatoxin B1 was 2.59 microg/kg. Aflatoxin contamination was not found in corn products, corn, peanuts, buckwheat flour, dried buckwheat noodles, rice, or sesame oil. Ochratoxin A was detected in oatmeal, wheat flour, rye, buckwheat flour, green coffee beans, roasted coffee beans, raisins, beer, and wine but not in rice or corn products. Ochratoxin A concentrations in contaminated samples were below 0.8 microg/kg. Fumonisins were detected in popcorn, frozen corn, corn flakes, and corn grits. The highest concentrations of fumonisins B1, B2, and B3 in these samples were 354.0, 94.0, and 64.0 microg/kg, respectively."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'maize': ['GM elements']}</s>,"The cultivation area and diversity of genetically modified (GM) crop varieties worldwide is increasing rapidly. Taking Turkey as an example of a country with tight restrictions on the import and use of GM crops but limited resources for product monitoring, we developed a cost-effective 3-tier screening protocol, and tested 110 retail food products and 13 animal feeds available in 2016-2017 for GM ingredients. No evidence was found for the presence of GM wheat or rice in the foodstuffs tested; however, 6 feeds and 3 food products containing soybean and/or maize were positive for one or more GM elements. GM events present in positive samples were identified by event-specific PCR and quantified by real-time PCR. We also compared the results with previous surveys in Turkey. Overall, we observed consistent use of GM animal feeds; however, these were not labelled as GM at the point of sale. Occasional food products also tested positive for GM ingredients, usually at low concentrations that could be attributed to accidental contamination."
"Chemicals: Fusaproliferin (FP), Fusarium proliferatum, Fusarium subglutinans
Foods: Maize, agricultural commodities
Dictionary: {maize: ['Fusaproliferin (FP)']}</s>",{'maize': ['Fusaproliferin (FP)']}</s>,"Fusaproliferin (FP), a toxic metabolite of the world-wide maize pathogens Fusarium proliferatum and Fusarium subglutinans, was recently found to be a natural contaminant of maize. Its toxic activity on haematopoietic human cell lines and its teratogenic effects on chicken embryos has been recently proved. Therefore a sensitive, rapid, and inexpensive screening test to detect FP in agricultural commodities is necessary to protect human health. FP-hemiglutarate conjugated to modified bovine serum albumin was synthesized, characterized, and used as an antigen for raising polyclonal antibodies by immunizing rabbits. Indirect and competitive ELISA and immunoblotting analyses were performed to determine antibody specificity towards the mycotoxin. The determination of 10 micrograms of free FP/mL was achieved using antibodies purified by means of affinity chromatography on a FP-lysine-Sepharose column. This unsatisfactory detection limit is due to high background values; thus, this method is not competitive with traditional UV-HPLC methods."
"Chemicals: deoxynivalenol (DON)
Foods: corn and products from corn producing districts of Punjab, Pakistan
Dictionary: {
    ""corn"": ""deoxynivalenol (DON)"",
    ""corn products"": {
        ""deoxynivalenol (DON)"": ""hazardous""
    }
}</s>",{'Corn': ['Deoxynivalenol (DON)']}</s>,"The study focused on investigating the natural incidence of deoxynivalenol (DON) in corn and products from corn producing districts of Punjab, Pakistan. The analysis was carried out using HPLC with UV detector and immunoaffinity cleanup columns. The detection limit (LOD) and limit of quantification were 25 and 50 &micro;g/kg, respectively. Total 1220 samples of corn and products were analyzed to detect the DON, and 539 (44.2%) samples were observed to be contaminated with DON (n &ge; LOD). Furthermore, 92 (7.5%) samples of corn &amp; products have DON levels, elevated than the proposed limits of the EU. The data is significantly different from a normal distribution for DON in corn and products samples and from different locations (p &lt; 0.05) for Shapiro-Wilk and Kolmogorov-Smirnov values. However, a significant difference in DON levels was found between corn and corn derived-products types (p &le; 0.05). The lowest and highest exposure &amp; hazard quotient (HQ) of 0.92 and 9.68 &micro;g/kg bw/d were documented in cornflour samples."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Wheat': ['Ozone'], 'Maize': ['Ozone'], 'Poplar': ['Ozone']}</s>","Ozone exposure- and dose-response relationships based on photosynthetic leaf traits (CO2 assimilation, chlorophyll content, Rubisco and PEPc activities) were established for wheat, maize and poplar plants grown in identical controlled conditions, providing a comparison between crop and tree species, as well as between C3 and C4 plants. Intra-specific variability was addressed by comparing two wheat cultivars with contrasting ozone tolerance. Depending on plant models and ozone levels, first-order, second-order and segmented linear regression models were used to derive ozone response functions. Overall, flux-based functions appeared superior to exposure-based functions in describing the data, but the improvement remained modest. The best fit was obtained using the POD0.5 for maize and POD3 for poplar. The POD6 appeared relevant for wheat, although intervarietal differences were found. Our results suggest that taking into account the dynamics of leaf antioxidant capacity could improve current methods for ozone risk assessment for plants."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'maize': ['Raman', 'FTIR']}</s>","Three commercially available vibrational spectroscopic techniques, including Raman, Fourier transform near infrared reflectance (FT-NIR), and Fourier transform infrared (FTIR) were evaluated to help users determine the spectroscopic method best suitable for aflatoxin analysis in maize (Zea mays L. ) grain based on their relative efficiency and predictive ability. Spectral differences of Raman and FTIR spectra were more marked and pronounced among aflatoxin contamination groups than those of FT-NIR spectra. From the observations and findings in our current and previous studies, Raman and FTIR spectroscopic methods are superior to FT-NIR method in terms of predictive power and model performance for aflatoxin analysis and they are equally effective and accurate in predicting aflatoxin concentration in maize. The present study is considered as the first attempt to assess how spectroscopic techniques with different physical processes can influence and improve accuracy and reliability for rapid screening of aflatoxin contaminated maize samples."
"Chemicals: <chemicals you identified in the text between triple backticks>
Foods: <foods you identified in the text between triple backticks>
Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values></s>","{'Changshu': ['manure', 'phosphorus'], 'Taoyuan': ['manure', 'phosphorus'], 'Hailun': ['manure', 'phosphorus'], 'Fengqiu': ['manure', 'phosphorus'], 'Qiyang': ['manure', 'phosphorus']}</s>","To assess the effects of long-term fertilization on arsenic (As) accumulation in soils and crops with different agricultural practices, five experimental stations (Changshu, Taoyuan, Hailun, Fengqiu, and Qiyang) with long-term fertilization practices, representing five typical soils of China, were selected to investigate the soil As concentrations. Results indicated that the geological source, that is, parent materials, played a dominant role in determining the soil As concentrations. Long-term application of manure and phosphorus fertilizers led to a decrease of As concentration in the surface paddy soil at Taoyuan, while the effects of fertilization on As concentration in other samples were minimal. In addition, other agricultural practices, such as the removal of crop biomass, reduced the As concentrations in the surface soils with low levels of soil As (Fengqiu, Changshu, and Taoyuan). In the upland soils with higher As concentrations, wheat may have risk to human health through food-chain and maize can be considered as a favorable crop."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values>
            Chemicals: ['Arsenic (As)', 'heavy metal']
            Foods: ['maize', 'kernels', 'axes', 'stems', 'bracts', 'leaves']
            Dictionary: {
                'maize': ['Arsenic (As)', 'heavy metal'],
                'kernels': ['Arsenic (As)', 'heavy metal'],
                'axes': ['Arsenic (As)', 'heavy metal'],
                'stems': ['Arsenic (As)', 'heavy metal'],
                'bracts': ['Arsenic (As)', 'heavy metal'],
                'leaves': ['Arsenic (As)', 'heavy metal']
            }</s>",{'Crops': ['Arsenic (As)']}</s>,"Arsenic (As) is a toxic heavy metal that can accumulate in crops and poses a threat to human health. The genetic mechanism of As accumulation is unclear. Herein, we used quantitative trait locus (QTL) mapping to unravel the genetic basis of As accumulation in a maize recombinant inbred line population derived from the Chinese crossbred variety Yuyu22. The kernels had the lowest As content among the different maize tissues, followed by the axes, stems, bracts and leaves. Fourteen QTLs were identified at each location. Some of these QTLs were identified in different environments and were also detected by joint analysis. Compared with the B73 RefGen v2 reference genome, the distributions and effects of some QTLs were closely linked to those of QTLs detected in a previous study; the QTLs were likely in strong linkage disequilibrium. Our findings could be used to help maintain maize production to satisfy the demand for edible corn and to decrease the As content in As-contaminated soil through the selection and breeding of As pollution-safe cultivars."
"Chemicals: phenanthrene, pyrene
            Foods: maize grain
            Dictionary: {maize grain: ['phenanthrene', 'pyrene']}</s>","{'Maize grain': ['PHE', 'PYR']}</s>","Understanding the uptake of organic pollutants by plants is an important part of the assessment of risks from crops grown on contaminated soils. This study was an investigation of the effects of surfactants added to PAHs-contaminated soil on the uptake and accumulation of PAHs in maize tissues during phytoremediation. The accumulation of phenanthrene (PHE) and pyrene (PYR) by maize plant was not influenced significantly by the surfactant amendment to the soil. The distribution of PHE and PYR in maize tissues was not positively correlated with the corresponding lipid contents. Remarkably, the concentrations of PHE (20.9 ng g(-1)) and PYR (0.9 ng g(-1)) in maize grain were similar to or even much lower than those in some foods. Moreover, surfactants could enhance the removal of pollutants from contaminated soil during phytoremediation, which might be due to surfactant desorption ability and microbial activity in soil. The study suggests that use of maize plant with surfactant is an alternative technology for remediation of PAHs-contaminated soils."
"Chemicals: Aflatoxin B1 (AFB1)
Foods: maize
Dictionary: {maize: ['Aflatoxin B1 (AFB1)']}</s>",{'Maize': ['Aflatoxin B1 (AFB1)']}</s>,"Aflatoxin B1 (AFB1) is a major contaminant in different agricultural products including maize. In an attempt to reduce this problem and the hazards to human health, an AFB1 inactivating system with ammonia has been developed. In this work we evaluated the efficiency of the system in mice using micronucleus (MN) and sister chromatid exchange (SCE) analysis. Four groups of animals were fed during 8 weeks with a special diet mainly composed of maize: (1) uncontaminated; (2) uncontaminated/inactivated; (3) contaminated/inactivated; and (4) contaminated. We evaluated MN at weekly intervals in peripheral blood, and in weeks 4 and 8 SCE frequencies were quantified in bone marrow cells. The results showed that animals fed with AFB1 contaminated/inactivated maize had a 45% lower level of induced cytogenetic damage than those animals fed with AFB1 contaminated, but not inactivated maize. A residual amount of AFB1 after the inactivating treatment and the reconversion back to AFB1 in the organism may account for the remaining increased levels of SCE and MN."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'Maize': ['Potassium chromate']}</s>,"To determine the potential of maize plants for phytoextraction of chromium (Cr), and the effect that some mineral nutrients have on this process, the uptake of this metal was analyzed in vitro. 12-day-old plants were incubated in nutrient solutions with 200 or 250 μM potassium chromate and 3mM supplements of nitrate, phosphate or sulfate. The greatest accumulation of Cr after 48 hours was in plants that were supplemented with nitrate (800 and 350 mg kg(-1) DW for roots and stems, respectively) with bioaccumulation factors of 18 and 7 in the roots and in the foliage, respectively. Moreover, the translocation factor from root to leaves was 0.4 when nitrate was supplemented; thus, the addition of this nutrient is recommended when the crop is to be used for phytoextraction of Cr. Considering the results obtained, the high biomass produced by this crop and the extensive knowledge of agricultural practices for this plant, we believe that maize has the potential to be considered in the phytoextraction of Cr, based on preliminary assays of soil conditions."
"Chemicals: fumonisins
Foods: maize products
Dictionary: {maize: 'fumonisins'}</s>",{'Fumonisins': ['hidden']}</s>,"Hidden fumonisins have received great attention in the last years as they have been frequently found in maize products in addition to the free forms. Several papers have shown that interaction with macromolecular components such as protein and starch is at the base of the phenomenon: although the nature of the interaction (covalent or not) is still not clarified, the occurrence of hidden forms is generally revealed by the application of an alkaline hydrolysis procedure. In this study, an in vitro digestion model has been applied to raw maize to evaluate the possible release of hidden fumonisins under gastrointestinal conditions. Upon digestion of the food matrix, an increased amount of total detectable fumonisins was observed in comparison with the analysis on the nondigested matrix, an amount even higher than that calculated through the application of the hydrolysis procedure. Besides the analytical issues, our data have serious implications, since consumers may be exposed to a systematic higher risk than that estimated by conventional techniques."
"Chemicals: Ochratoxin A (OTA)
Foods: oats, wheat, maize, barley, raisins and other dried vine fruits, wine, beer, coffee, and cocoa
Dictionary: {
    'oats': 'Ochratoxin A (OTA)',
    'wheat': 'Ochratoxin A (OTA)',
    'maize': 'Ochratoxin A (OTA)',
    'barley': 'Ochratoxin A (OTA)',
    'raisins and other dried vine fruits': 'Ochratoxin A (OTA)',
    'wine': 'Ochratoxin A (OTA)',
    'beer': 'Ochratoxin A (OTA)',
    'coffee': 'Ochratoxin A (OTA)',
    'cocoa': 'Ochratoxin A (OTA)'
}</s>",{'Oats': ['Ochratoxin A (OTA)']}</s>,"Ochratoxin A (OTA) is a mycotoxin, or fungal toxin, that contaminates multiple foodstuffs worldwide. Affected commodities include oats, wheat, maize, barley, raisins and other dried vine fruits, wine, beer, coffee, and cocoa. Although OTA has been shown to cause kidney disease, including kidney cancer, in multiple animal species, the impact of dietary OTA on human health from a global perspective has been less clear. Several epidemiological studies suggest an association between OTA exposure and human kidney disease, but evidence of causality has been limited. Nonetheless, because OTA is common in so many foodstuffs and may play a role in kidney disease, we consider it important to improve the body of evidence surrounding OTA's adverse effects to humans, as well as human dietary exposures in different parts of the world. This is especially true in the light of increasing type 2 diabetes and obesity prevalence worldwide; both conditions frequently lead to chronic kidney disease (CKD), and may synergize with dietary OTA exposure to increase CKD risk."
"Chemicals: aflatoxin B1, patulin, zearalenone, ochratoxin, fusarium toxins
Foods: corn, medicinal herbs, processed foods
Dictionary: {
    'corn': 'aflatoxin B1',
    'medicinal herbs': 'unknown',
    'processed foods': 'unknown'
}</s>","{'Foods': ['Mycotoxins have been identified as important toxins affecting animal species and humans ever since the discovery of aflatoxin B1 in 1960. Mycotoxigenic fungi are ubiquitous in nature and are held responsible for economic loss as they decrease crop yield and quality of food. The presence of fungi and their mycotoxins are reported not only in food grains but also in medicinal herbs and processed foods. Since prevention is not always possible, detoxification of mycotoxins have been attempted using several means; however, only few have been accepted for practical use, e. g. ammonia in the corn industry. Organizations such as the World Health Organization, US Food and Drug Administration and European Union have set regulations and safety limits of important mycotoxins, viz. aflatoxins, fusarium toxins, ochratoxin, patulin zearalenone, etc. , to ensure the safety of the consumers. This review article is a brief and up-to-date account of the occurrence, detection and detoxification of mycotoxins for those interested in and considering research in this area.']}</s>","Mycotoxins have been identified as important toxins affecting animal species and humans ever since the discovery of aflatoxin B1 in 1960. Mycotoxigenic fungi are ubiquitous in nature and are held responsible for economic loss as they decrease crop yield and quality of food. The presence of fungi and their mycotoxins are reported not only in food grains but also in medicinal herbs and processed foods. Since prevention is not always possible, detoxification of mycotoxins have been attempted using several means; however, only few have been accepted for practical use, e. g. ammonia in the corn industry. Organizations such as the World Health Organization, US Food and Drug Administration and European Union have set regulations and safety limits of important mycotoxins, viz. aflatoxins, fusarium toxins, ochratoxin, patulin zearalenone, etc. , to ensure the safety of the consumers. This review article is a brief and up-to-date account of the occurrence, detection and detoxification of mycotoxins for those interested in and considering research in this area."
"Chemicals: mercury (Hg), methyl-Hg (MeHg)
Foods: rice, corn, crop, soil, atmosphere
Dictionary: {
    'rice': {
        'mercury (Hg)': None,
        'methyl-Hg (MeHg)': None
    },
    'corn': {
        'mercury (Hg)': None,
        'methyl-Hg (MeHg)': None
    },
    'crop': {
        'mercury (Hg)': None,
        'methyl-Hg (MeHg)': None
    },
    'soil': {
        'mercury (Hg)': None,
        'methyl-Hg (MeHg)': None
    },
    'atmosphere': {
        'mercury (Hg)': {
            'methyl-Hg (MeHg)': True
        }
    }
}</s>",{'Rice': ['Mercury (Hg)']}</s>,"In mercury (Hg) contaminated areas of Asia, human exposure to toxic methyl-Hg (MeHg) through a rice-based diet of locally produced crop may pose a health threat. Alternative cropping system to rice in such areas would be most desirable. In this study, corn, the leading cereal source in the world with large biomass, was demonstrated to accumulate an insignificant amount of MeHg from the soil in its edible portion compared to that in rice, suggesting corn being a very competitive alternative crop. By examining Hg stable isotope composition, Hg in the aerial parts of corn was found to be mostly from the atmosphere. Maize cropping worldwide is estimated to be a discemible sink of atmospheric Hg with approximately 44 Mg Hg accumulated in each growing season on a yearly basis, most of which is from foliar uptake of atmospheric Hg and this amount is comparable to litterfall Hg observed in North America and Europe. It is thus recommended to use corn as a replacement of rice in highly Hg-contaminated areas for remediation of Hg pollution in the food supply."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Zearalenone': ['Raman spectroscopy', 'contaminant', 'hazardous to humans and animals', 'maize', 'Raman rapid screening technique', 'contaminated maize', 'Raman spectroscopy combined multivariate calibration']}</s>","Zearalenone is a contaminant in food and feed products which are hazardous to humans and animals. This study explored the feasibility of the Raman rapid screening technique for zearalenone in contaminated maize. For representative Raman spectra acquisition, the ground maize samples were collected by extended sample area to avoid the adverse effect of heterogeneous component. Regression models were built with partial least squares (PLS) and compared with those built with other variable selection algorithms such as synergy interval PLS (siPLS), ant colony optimization PLS (ACO-PLS) and siPLS-ACO. SiPLS-ACO algorithm was superior to others in terms of predictive power performance for zearalenone analysis. The best model based on siPLS-ACO achieved coefficients of correlation (Rp) of 0.9260 and RMSEP of 87.9132 μg/kg in the prediction set, respectively. Raman spectroscopy combined multivariate calibration showed promising results for the rapid screening large numbers of zearalenone maize contaminations in bulk quantities without sample-extraction steps."
"Chemicals: None
Foods: None
Dictionary: None</s>","{'maize': ['aflatoxins', 'manual', 'automatic']}</s>","Variance and performance of two sampling plans for aflatoxins quantification in maize were evaluated. Eight lots of maize were sampled using two plans: manual, using sampling spear for kernels; and automatic, using a continuous flow to collect milled maize. Total variance and sampling, preparation, and analysis variance were determined and compared between plans through multifactor analysis of variance. Four theoretical distribution models were used to compare aflatoxins quantification distributions in eight maize lots. The acceptance and rejection probabilities for a lot under certain aflatoxin concentration were determined using variance and the information on the selected distribution model to build the operational characteristic curves (OC). Sampling and total variance were lower at the automatic plan. The OC curve from the automatic plan reduced both consumer and producer risks in comparison to the manual plan. The automatic plan is more efficient than the manual one because it expresses more accurately the real aflatoxin contamination in maize."
"Chemicals: None
Foods: None
Dictionary: {}</s>",{'Cotton': ['Helicoverpa armigera']}</s>,"The development of cotton pest management practices in China has followed a pattern seen for many crops that rely heavily on insecticides. Helicoverpa armigera resistance to chemical pesticides resulted in the unprecedented pest densities of the early 1990s. Transgenic cotton that expresses a gene derived from the bacterium Bacillus thuringiensis (Bt) has been deployed for combating H. armigera since 1997. The pest management tactics associated with Bt cotton have resulted in a drastic reduction in insecticide use, which usually results in a significant increase in populations of beneficial insects and thus contributes to the improvement of the natural control of some pests. Risk assessment analyses show that the natural refuges derived from the mixed-planting system of cotton, corn, soybean, and peanut on small-scale, single-family-owned farms play an important function in delaying evolution of cotton bollworm resistance, and that no trend toward Bt cotton resistance has been apparent despite intensive planting of Bt cotton over the past several years."
