step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: polychlorinated biphenyls, dioxins, furans, mercury
Foods: salmon, trout
Dictionary: {
    'salmon': ['mercury', 'polychlorinated biphenyls', 'dioxins', 'furans'],
    'trout': ['mercury', 'polychlorinated biphenyls', 'dioxins', 'furans']
}</s>","{'Salmon': ['Persistent organic chemicals', 'omega-3 fatty acids']}</s>","Recent reports on the presence of persistent organic chemicals in wild and farmed salmon have left consumers and health professionals confused regarding the safety of regular fish consumption. The objectives of this study were (1) to compare concentrations of key contaminants and the essential nutrients omega-3 fatty acids between farmed and wild salmon and trout, and (2) to balance risks and benefits from regularly consuming these species. Concentrations of mercury, polychlorinated biphenyls, dioxins and furans as well as omega-3 fatty acids were determined in fillets from farmed salmon and trout bought in various markets located in Quebec, Canada, as well as in fillets from wild salmonids obtained from fishermen and various Canadian agencies. While differences were observed between market (farmed) and wild fish with regard to the concentrations of mercury and polychlorinated biphenyls, overall the concentrations of contaminants were low, such that the regular consumption of these fish would not cause tolerable daily intakes to be exceeded. Our results indicate that salmon and trout sold in Quebec markets, which as in markets located elsewhere in North America originate for the most part from Chilean farms, can be consumed regularly to achieve optimal nutritional benefits from omega-3 fatty acids, without incurring significant contaminant related health risks."
"Chemicals: None
Foods: None
Dictionary: {}</s>","{'Fish': ['colorant', 'feed additives']}</s>","Consumer perception affects how food products are positioned in the marketplace. In addition, misperception about product safety influences how products are labeled and marketed. Regulatory compliance issues facing aquaculture producers are driven both by science-based concerns over product safety and politics. Consumer perception of product safety often has little connection with any legitimate public health concern. This is particularly true for aquatic foods which have been politically targeted throughout the years by inaccurate assessment of product safety as part of a larger strategy to discourage purchases or to direct purchase to politically more acceptable product, for example from a ""farmed"" fish to a wild harvested one. Activists target the safety of foods harvested from the marine environment to promote an environmental agency, most recently mercury raising content in pelagic species such as tuna to scare women, particularly pregnant women, from consuming this otherwise healthful food. Recent scares have involved colorant and feed additives for farmed salmon, leading to mandatory retail labeling in Western US markets of ""added color"" for all farm raised salmonids to increase consumer concern about product safety and discourage purchases. These efforts detract from improving overall food safety, specifically risks of microbial contamination and growth."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values>
            Chemicals: ['Hg', 'mercury']
            Foods: ['sockeye salmon', 'Wood River System', 'Bristol Bay', 'Alaska']
            Dictionary: {
                'sockeye salmon': ['Hg', 'mercury'],
                'Wood River System': ['Hg', 'mercury'],
                'Bristol Bay': ['Hg', 'mercury'],
                'Alaska': ['Hg', 'mercury']
            }</s>",{'Salmon': ['Mercury']}</s>,"Biological transport by migratory animals is increasingly recognized as important to the long-range dispersal of toxic contaminants. Mercury (Hg) contamination is a widespread environmental concern with serious health implications for humans and wildlife. Due to their unique life history, anadromous salmon may act as important vectors for this contaminant, transferring Hg between marine and freshwater ecosystems. Previous analyses have considered contaminant transport by salmon to be unidirectional. These studies have evaluated Hg import to freshwater by spawning adults, but have not quantitatively assessed export through the migration of juveniles to the ocean. To determine the total Hg burden to freshwater systems by sockeye salmon, we reconstructed the net transport of Hg to the Wood River System in Bristol Bay, Alaska accounting for fluxes in (via adults) and out (via juveniles) of the system. Hg concentrations were higher in juvenile than adult salmon. Hg export from freshwater systems by salmon ranged from 3 to 30% of total import. Proportional export by smolts may be higher for populations under heavy exploitation with strong density dependence in juvenile recruitment. Full consideration of contaminant loading by migratory species requires attention to the relative contaminant flux at all life history stages and the effects of density dependent growth and survival."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and 
            chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values>
            Chemicals: Microplastics (MPs)
            Foods: Canned fishes from Taif governorate markets
            Dictionary: {
                ""Canned Tuna"": ""Microplastics (MPs)"",
                ""Sardines"": ""Microplastics (MPs)"",
                ""Salmon"": None
            }</s>","{'Tuna': ['Nylon', '1,2-polybutadiene', 'Ethylene vinyl alcohol'], 'Sardines': ['Ethylene vinyl alcohol', 'Poly(vinyl stearate)'], 'Salmon': []}</s>","Microplastics (MPs) have been documented in different foodstuffs and beverages, that could affect human health due to their ingestion. Furthermore, seafood contamination with MPs puts pillars of food availability and utilization at risk. The present study investigates MPs and toxic elements pollution in commercially canned fishes from Taif governorate markets. Seven different canned fishes' brands were used in the present study from different manufacturer countries and purchased from Taif markets. Tissue samples were digested by 10% of KOH; then, dry filters were analyzed by Fourier-transform infrared spectroscopy to detect MPs. Filtrates were used to detect any potentially toxic elements by inductively coupled plasma. Different MPs were detected in edible tissue, such as canned Tuna contaminated with nylon, 1,2-polybutadiene, and ethylene vinyl alcohol. Sardines contain ethylene vinyl alcohol and poly(vinyl stearate), but Salmon does not have any MPs. Different elements were present in the selected samples in the decreasing order of Al > Se > Zn and traces of As and Sb. Canned fishes were contaminated with MPs and potentially toxic elements. This contamination could be a warning of the potential health risks with the long-term exposure. Therefore, it is recommended to include micro-, meso-, and even nanoplastics in the guidelines of testing food safety management systems."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","{'oysters': ['A. media', 'A. salmonicida'], 'fresh salmon loins': ['A. media', 'A. salmonicida'], 'scallops': ['A. media', 'A. bestiarum']}</s>","We aim to investigate the prevalence, putative virulence factors and antimicrobial resistance of mesophilic Aeromonas isolated from ready-to-eat (RTE) seafood available on the Norwegian market, and to assess the potential risks by consuming RTE seafood to consumers. The prevalence of mesophilic Aeromonas in 148 RTE seafood was investigated and the highest prevalence was found in retail sushi (17%), followed by oysters (10%), fresh salmon loins (10%) and scallops (4%). Among 43 Aeromonas isolates, 75% of them were identified as A. media, 23% as A. salmonicida and 2% as A. bestiarum based on partial gryB gene sequencing. Aeromonas isolates were potentially pathogenic due to the presence of four virulence genes: alt (73%), hylA (22%), aerA (17%) and act (6%). In addition, all isolates were resistant to ampicillin and erythromycin. Most of the isolates (98%) were multidrug resistant. The occurrence of potentially pathogenic and multidrug-resistant Aeromonas strains in RTE seafood implies a potential risk to consumers. Our finding suggests that RTE seafood could be a potential vehicle for the transfer of virulent and multidrug-resistant Aeromonas. To our knowledge, this is the first study to report multiple antibiotic resistance in Aeromonas associated with RTE seafood in Norway."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values>
            ```
            Chemicals: polychlorinated biphenyl (PCB) congener distribution
            Foods: Atlantic salmon (Salmo salar), sprat (Sprattus sprattus), Eubothrium crassum
            Dictionary: {
                ""Atlantic salmon"": {
                    ""polychlorinated biphenyl (PCB) congener distribution"": ""biomagnified several PCB congeners from their diet (sprat)"",
                    ""parasites"": ""no difference in PCB concentration was found between sprat and E. crassum"",
                    ""prey"": ""no difference in PCB concentration was found between sprat and E. crassum""
                },
                ""sprat"": {
                    ""polychlorinated biphenyl (PCB) congener distribution"": ""no difference in PCB concentration was found between sprat and E. crassum"",
                    ""parasites"": ""no difference in PCB concentration was found between sprat and E. crassum"",
                    ""prey"": ""no difference in PCB concentration was found between sprat and E. crassum""
                },
                ""Eubothrium crassum"": {
                    ""polychlorinated biphenyl (PCB) congener distribution"": ""no difference in PCB concentration was found between sprat and E. crassum"",
                    ""parasites"": ""no difference in PCB concentration was found between sprat and E. crassum"",
                    ""prey"": ""no difference in PCB concentration was found between sprat and E. crassum""
                }
            }
            ```</s>","The provided text does not contain any information about chemical hazards, food safety, contamination, potential risks or harmful chemical substances for food. Therefore, the function identify_safety_hazards() returns an empty dictionary.</s>","Biomagnification and polychlorinated biphenyl (PCB) congener distribution was examined in a predator-prey, host-parasite system, in which Atlantic salmon (Salmo salar) preyed upon sprat (Sprattus sprattus). Eubothrium crassum was an intestinal parasite in salmon that also ""preyed upon"" sprat, because the parasites gained access to foodstuffs via the host (salmon) gut. Salmon contained significantly higher concentrations of total PCBs compared to both parasites and prey (sprat), but no difference in PCB concentration was found between sprat and E. crassum. Salmon biomagnified several PCB congeners from their diet (sprat), whereas parasites did not, despite the fact that both salmon and their parasites ingested the same prey. Differences in nutrient uptake mechanisms between the host and their parasites, in addition to the lack of a gastrointestinal tract in the cestode, may explain the lack of biomagnification in E. crassum. No difference was found in PCB congener distribution between parasites, salmon, and sprat, and none of the animal types showed a preference for accumulating more or less lipophilic congeners (congeners with a high or low octanol/water partition coefficient [K(ow)]). Biomagnification factors for individual congeners in salmon did not increase with K(ow); rather, they were constant, as shown by a linear relationship for congener concentration in prey and predator."
"Chemicals: pentachlorophenol (PCP)
Foods: landlocked salmon (Salmo salar m. sebago)
Dictionary: {
    'pentachlorophenol': {
        'body residue-based approach': {
            '0': {
                'metabolic response': 0
            },
            '0.26 microM': {
                'metabolic response': 0.26
            },
            '0.55 microM': {
                'metabolic response': 0.55
            }
        }
    },
    'landlocked salmon': {
        'metabolic response': {
            '0': {
                'pentachlorophenol': 0
            },
            '0.26 microM': {
                'pentachlorophenol': 0.26
            },
            '0.55 microM': {
                'pentachlorophenol': 0.55
            }
        }
    }
}</s>","{'Questions of organism-specific factors, toxicity endpoints, and their relation to mode-of-action all are related to consistency and applicability of body residue-based approaches. To address this issue, direct calorimetry was used to evaluate metabolic responses of alevins of landlocked salmon (Salmo salar m. sebago) to pentachlorophenol (PCP) exposure ranging from 0 to 1.04 microM for 24 h or 24, 48, and 72 h (0, 0.26, and 0.55 microM, respectively). The body residues were used as a dose metric for sublethal responses. The body size, rapid ontogenetic development, and exposure to a specific pollutant all were heat output-modifying factors. The acute exposure (24-72 h) to PCP led to a heat output-enhancing effect, which directly was related to an internal concentration of PCP in the range of 0.01 to 0.15 micromol/g. Within the treatments, body size per level of metabolic rate and magnitude of physiological response were not correlated, thus the alevins with higher mass-specific metabolic rate were not more sensitive to PCP. Primarily, increasing metabolic rate during posthatch development controls PCP toxicity only by affecting bioaccumulation kinetics, not the toxic potency of the chemical. New information of a relationship between observed natural variation in measured physiological trait of fish and PCP-induced response and its body residue-based level is of ecotoxicological importance.'}</s>","Questions of organism-specific factors, toxicity endpoints, and their relation to mode-of-action all are related to consistency and applicability of body residue-based approaches. To address this issue, direct calorimetry was used to evaluate metabolic responses of alevins of landlocked salmon (Salmo salar m. sebago) to pentachlorophenol (PCP) exposure ranging from 0 to 1.04 microM for 24 h or 24, 48, and 72 h (0, 0.26, and 0.55 microM, respectively). The body residues were used as a dose metric for sublethal responses. The body size, rapid ontogenetic development, and exposure to a specific pollutant all were heat output-modifying factors. The acute exposure (24-72 h) to PCP led to a heat output-enhancing effect, which directly was related to an internal concentration of PCP in the range of 0.01 to 0.15 micromol/g. Within the treatments, body size per level of metabolic rate and magnitude of physiological response were not correlated, thus the alevins with higher mass-specific metabolic rate were not more sensitive to PCP. Primarily, increasing metabolic rate during posthatch development controls PCP toxicity only by affecting bioaccumulation kinetics, not the toxic potency of the chemical. New information of a relationship between observed natural variation in measured physiological trait of fish and PCP-induced response and its body residue-based level is of ecotoxicological importance."
"Chemicals: CHB-50, CHB-62, CHB-40, CHB-41, CHB-44
Foods: Danio rerio, Atlantic salmon smolts
Dictionary: {
    ""Danio rerio"": {
        ""CHB-50"": True,
        ""CHB-62"": True,
        ""CHB-40"": True,
        ""CHB-41"": True,
        ""CHB-44"": True
    },
    ""Atlantic salmon smolts"": {
        ""CHB-50"": True,
        ""CHB-62"": True,
        ""CHB-40"": True,
        ""CHB-41"": True,
        ""CHB-44"": True
    }
}</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","The relative feed-to-fish accumulation and possible biotransformation of the nona-chlorinated toxaphene congeners currently included in EU-legislation (CHB-50 and -62) and the octa-chlorinated congeners recommended by the European Food Safety Authority to be included in future surveillance of fish samples (CHB-40, 41, and 44) were investigated in the present study. Model fish Danio rerio were fed either (a) diets spiked with a combination as well as the pure individual toxaphene congeners CHB-50 or 62 or (b) diets spiked with the combination of CHB ∑50+62 and/or CHB ∑40+41+44. In addition, seawater adapted Atlantic salmon smolts were fed technical toxaphene enriched feeds for 62 days. Zebrafish fed a diet containing CHB-50 and CHB-62 accumulated newly formed CHB-40&41 and CHB-44, respectively. The biomagnifications factors (BMF) of the toxaphene congeners in Atlantic salmon muscle from the feeds spiked with technical toxaphene were significantly correlated with their relative lipophilicity (expressed as logK(ow)). An exception was CHB-44 which had a higher BMF than could be expected from its specific logK(ow), reflecting that CHB-44 is a metabolite formed under dietary exposure to CHB-62. This paper reports the in vivo dechlorination of nona-chlorinated toxaphene congeners into octa-chlorinated congeners in feeding trials with a model fish (zebrafish) and an oily food fish (Atlantic salmon)."
"Chemicals: None
Foods: None
Dictionary: None</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","The issue of food safety has acquired increased importance, and fraud is a major concern for the food industry. Among different types of food adulteration, there is the sale of frozen-thawed smoked salmon product as fresh, which not only decreases the quality of products but also misleads consumers and may involve associated health risks. In response to this problem, we tested the performance of histology to identify smoked salmon as fresh or frozen-thawed as a valid analytical method, so food business operators and official controllers can reliably and correctly classify the storage state of the product. Three groups of samples were prepared: group A (n = 36), fresh samples; group B (n = 36), frozen at -18°C for 30 days; and group C (n = 36), stored at -3°C for 30 days after packaging. Two histopathologists examined all samples in blind evaluations and classified them as fresh or frozen-thawed. Sensitivity, specificity, and interrater agreement were calculated. Results show high performance with the test: 80.6% sensitivity (95% confidence intervals [CI]: 64 to 91.8%); 95.6% specificity (95% CI: 89.1 to 98.8%); and Cohen's kappa was 0.81 (95% CI: 0.64 to 0.98%). Histology is a reliable and highly accurate method to differentiate fresh from frozen-thawed smoked salmon and could be used by the industry and official controllers to verify the labeling of the commercial product."
"Chemicals: None
Foods: Salmon
Dictionary: {}</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","Salmon is a popular food but it is easily susceptible to spoilage by contamination with microorganisms. In this study, a method using hydrophilic interaction chromatography (HILIC)-based solid-phase extraction (SPE) and matrix-assisted laser desorption and ionization time-of-flight/time-of-flight mass spectrometry was developed and applied to reveal the effect of Pseudomonas fluorescens on salmon fillet during the shelf-life period by measuring the changes in the levels of phosphatidylcholine and phosphatidylethanolamine. Fresh samples were inoculated with P. fluorescens (10(6) cfu g(-1)) for 30 s, and lipids were extracted at 0, 24, 48, and 72 h. A homemade SPE cartridge packed with HILIC sorbent (silica derivatized with 1,2-dihydroxypropane) was used for matrix cleanup prior to analysis by mass spectrometry. In total, 30 phospholipids and 16 lysophospholipids were detected and elucidated. The results revealed that the content of phospholipids decreased significantly, whereas that of lysophospholipids increased initially, followed by a gradual reduction as the cold storage time increased. The contamination by P. fluorescens negatively affected the quality of fresh salmon without obvious physical changes, but it posed a potential threat to human health. This study suggests that the well-established method could be used for detecting phospholipids in salmon fillet and perhaps other foods as well."
"Chemicals: None
Foods: Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Salmonella, Sal","{'Salmonella': ['loop-mediated isothermal amplification (LAMP)', 'clustered regularly interspaced short palindromic repeats (CRISPR)/Cas12a system']}</s>","Salmonella is a type of common foodborne pathogen of global concern, seriously endangering human health. In molecular biological detection of Salmonella, the method of amplifying DNA often faces the problem of aerosol pollution. In this study, a microfluidic chip was developed to integrate loop-mediated isothermal amplification (LAMP) and clustered regularly interspaced short palindromic repeats (CRISPR)/Cas12a system to detect Salmonella. The LAMP reaction solution was initially injected into the chamber to amplify at 65 °C for 20 min; the CRISPR/Cas12a reaction solution was subsequently injected to mix with the amplicons for fluorescent signal production at 43 °C for 30 min. Then, the results can be confirmed by naked eyes under 495 nm light or by a fluorescence immunochromatographic reader. The detection limit of this method for Salmonella DNA was 118 pg/μL. The sensitivity and specificity of this method was 100%. Furthermore, this method was used to detect Salmonella after enrichment for 4 h in salmon and chicken samples spiked with 30 CFU/25 g, and was verified to have a stable detection capability in real samples. The microfluidic chip integrated with the LAMP and CRISPR/Cas12a system not only provides a possibility of highly sensitive endpoint fluorescent visual detection of a foodborne pathogen, but also greatly eliminates the risk of aerosol contamination."
"Chemicals: Polybrominated diphenyl ether (PBDE), BDE congeners 28, 47, 99, 100, 153, and 154
Foods: juvenile Chinook salmon, dietary exposures, foods with higher lipid levels
Dictionary: {
    ""BDE49"": ""BDE49"",
    ""BDE99"": ""BDE99"",
    ""100"": ""BDE100"",
    ""153"": ""BDE153"",
    ""154"": ""BDE154"",
    ""28"": ""BDE28"",
    ""47"": ""BDE47"",
    ""99"": ""BDE99"",
    ""100"": ""BDE100""
}</s>","The provided text does not mention any specific food or chemical substances, so the function identify_safety_hazards() returns an empty dictionary.</s>","Polybrominated diphenyl ether (PBDE) flame retardants are environmental contaminants that can accumulate in biota. PBDE accumulation in an organism depends on exposure, assimilation efficiency, and elimination/metabolism. Net assimilation efficiency represents the fraction of the contaminant that is retained in the organism after exposure. In the present study, congener-specific estimates of net PBDE assimilation efficiencies were calculated from dietary exposures of juvenile Chinook salmon. The fish were exposed to one to eight PBDE congeners up to 1500 ng total PBDEs/g food. Mean assimilation efficiencies varied from 0.32 to 0.50 for BDE congeners 28, 47, 99, 100, 153, and 154. The assimilation efficiency of BDE49 was significantly greater than 100%, suggesting biotransformation from higher brominated congeners. Whole body concentrations of BDE49 significantly increased with both exposure to increasing concentrations of BDE99 and decreasing fish lipid levels, implying lipid-influenced debromination of BDE99 to BDE49. Excluding BDE49, PBDE assimilation efficiency was not significantly related to the numbers of congeners in the diets, or congener hydrophobicity, but was greater in foods with higher lipid levels. Estimates of PBDE assimilation efficiency can be used in bioaccumulation models to assess threats from PBDE exposure to Chinook salmon health and recovery efforts, as well as to their predators."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","{'Atlantic salmon': ['l-phenylalanine', 'anserine', 'l-arginine', 'l-α-Glyceryl-phosphoryl-choline', 'N-methyl-ethanolamine phosphate']}</s>","This study aims to discriminate fresh fish from frozen/thawed by identification of the key metabolites that are altered during the freezing/thawing processing. Atlantic salmon (Salmo salar) and bullet tuna (Auxis rochei) were selected as they are representative of broad consumption, and susceptible to pathogen contamination. Atlantic salmon samples were subjected to the following regimes: -20 °C (24h) and -35 °C (15 h) freezing, then thawed respectively in the blast chiller and in the cold room and analyzed immediately or after 10 days; (2) bullet tuna samples were frozen at -18 °C and thawed after 15, 30 and 90 days. High resolution mass spectrometry based on untargeted metabolomic analyses and statistical data treatment confirmed significant variations in the quantity of certain metabolites: the amount of l-phenylalanine in salmon increased immediately after thawing while that of anserine decreased. The concentration of l-arginine and its metabolites was altered at the 10th day after thawing rendering them promising markers of salmon freezing/thawing. As regards bullet tuna, compounds resulting from lipid degradation (l-α-Glyceryl-phosphoryl-choline and N-methyl-ethanolamine phosphate) increased notably during the storage period. This approach could be used to reveal common fraudulent incidents such as deliberate replacement of fresh fish with frozen/thawed, with food safety risks as the primary implication."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values></s>","{'Atlantic salmon': ['PCB congener profiles were analyzed to provide insight into the sources and uptake of PCBs in salmon as well as regional differences.', 'Although total PCB concentrations in wild salmon appeared to be correlated to total lipid content, the increased proportion of total lipids in the farmed salmon could not account for the much greater PCB concentrations.', 'The PCB congener profiles of farmed salmon often closely corresponded to a sample of commercial feed purchased in the same region, indicating that the feed is likely to be the major source of PCBs for farmed salmon.']}</s>","Concentrations of 160 polychlorinated biphenyl (PCB) congeners or congener groups were determined in approximately 600 farmed Atlantic salmon from around the world and wild (ocean-caught) Pacific salmon from the Northeast Pacific. Concentrations and PCB congener profiles were analyzed to provide insight into the sources and uptake of PCBs in salmon as well as regional differences. Although total PCB concentrations in wild salmon appeared to be correlated to total lipid content, the increased proportion of total lipids in the farmed salmon could not account for the much greater PCB concentrations. We investigated the PCB congener patterns of hundreds of salmon samples using principal component analysis to further illuminate regional and species differences. Three major PCB patterns were observed, in most wild fish (except British Columbia and Oregon chinook), in farmed fish from the Atlantic, and in most farmed fish from the Pacific. The PCB congener profiles of farmed salmon often closely corresponded to a sample of commercial feed purchased in the same region, indicating that the feed is likely to be the major source of PCBs for farmed salmon. In such cases where PCB profiles in fish and feed were similar, a comparison of congener concentrations in fish and the feed showed that the majority of congeners, with some notable exceptions, were bioaccumulative to the same extent, irrespective of physical properties."
"Chemicals: polychlorinated biphenyls (PCBs), dioxin-like PCBs, polychlorinated dibenzo-p-dioxins (PCDDs), dibenzo-p-furans (PCDFs), and chlorinated pesticides.
Foods: farmed Atlantic salmon (Salmo salar) from Maine and eastern Canada, wild Alaskan Chinook salmon (Oncorhynchus tshawytscha), and organically farmed Norwegian salmon samples.
Dictionary: {
    'farmed Atlantic salmon (Salmo salar) from Maine and eastern Canada': ['polychlorinated biphenyls (PCBs)', 'dioxin-like PCBs', 'polychlorinated dibenzo-p-dioxins (PCDDs)', 'dibenzop-p-furans (PCDFs)', 'chlorinated pesticides'],
    'wild Alaskan Chinook salmon (Oncorhynchus tshawytscha)': ['polychlorinated biphenyls (PCBs)', 'dioxin-like PCBs', 'polychlorinated dibenzo-p-dioxins (PCDDs)', 'dibenzop-p-furans (PCDFs)', 'chlorinated pesticides'],
    'organically farmed Norwegian salmon samples': ['polychlorinated biphenyls (PCBs)', 'dioxin-like PCBs', 'polychlorinated dibenzo-p-dioxins (PCDDs)', 'dibenzop-p-furans (PCDFs)', 'chlorinated pesticides']
}</s>","{'Atlantic salmon': ['PCBs', 'dioxin-like PCBs', 'PCDDs', 'dibenzo-p-furans', 'chlorinated pesticides']}</s>","Farmed Atlantic salmon (Salmo salar) from Maine and eastern Canada, wild Alaskan Chinook salmon (Oncorhynchus tshawytscha), and organically farmed Norwegian salmon samples were analyzed for the presence of polychlorinated biphenyls (PCBs), dioxin-like PCBs, polychlorinated dibenzo-p-dioxins (PCDDs), dibenzo-p-furans (PCDFs), and chlorinated pesticides. PCDD and PCDF congeners were not detected in > 80% of the samples analyzed. Total PCB concentrations (7.2-29.5 ng/g, wet weight, ww) in the farmed salmon were significantly higher than those in the wild Alaskan Chinook samples (3.9-8.1 ng/g, ww). Concentrations of PCBs, WHO PCB TEQs, and chlorinated pesticides varied significantly by region. PCB and WHO PCB TEQ concentrations in farmed salmon from eastern Canada were lower than those reported in samples collected two years earlier, possibly reflecting recent industry efforts to lower contaminant concentrations in feed. Organically farmed Norwegian salmon had the highest concentrations of PCBs (mean: 27 ng/g, ww) and WHO PCB TEQs (2.85 pg/g,ww); their TEQ values are in the higher range of those reported in farmed salmon from around the world. Removal of skin from salmon fillets resulted in highly variable reductions of lipids and contaminants, and in some skin-off samples, contaminant levels were higher, suggesting that skin removal does not protect the consumer from health risks associated with consumption of farmed salmon."
"Chemicals: None
Foods: None
Dictionary: None</s>","{'Food': ['Veterinary drugs', 'seafood products', 'Asian seafood products', 'shrimp and prawns', 'catfish (or fish sold as catfish)', 'crab', 'tilapia', 'eel', 'Chilean salmon']}</s>","Veterinary drugs are used to treat or prevent a wide array of production-related diseases in aquaculture. Residues of these drugs in seafood products may pose risks to consumers, prompting governments to set drug residue tolerance levels and inspect seafood for violations of these standards. This study characterizes veterinary drug inspection policies and violations among four inspecting bodies (European Union (E. U. ), United States (U. S. ), Canada, and Japan), using government-collected veterinary drug violation data from 2000 to 2009. Most veterinary drug violations were detected in species that are commonly farm-raised. Asian seafood products, including shrimp and prawns, catfish (or fish sold as catfish), crab, tilapia, eel, and Chilean salmon were most frequently in violation of veterinary drug residue standards. Vietnam had the greatest number of violations among exporting countries. Concentrations of most veterinary drugs in seafood found in violation did not differ between inspecting bodies that reported drug concentrations. Transparency in seafood inspection reporting varied widely among inspecting bodies. Estimation of violations in the untested fraction of seafood was precluded by a lack of information from inspecting bodies regarding the distinction between targeted and random sampling. Increased transparency could facilitate a more rigorous characterization of public health risks from consuming imported seafood."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values></s>",{'Foods': ['smoked salmon processing environment']}</s>,"The objectives of this study were 1) to evaluate the impact of two industrial disinfectants on the viability of Listeria monocytogenes populations in biofilm and 2) to investigate the viability state of L. monocytogenes cells present on contact surfaces in the smoked salmon processing environment. In the first step, we cultured mono species and mixed species biofilms containing L. monocytogenes on stainless steel or polyvinyl chloride (PVC) at 8 °C for 48h. The biofilms were then exposed to quaternary ammonium- and hydrogen peroxide-based disinfectants. Residual total populations of L. monocytogenes were measured by qPCR, and viable culturable (VC) cell populations were quantified using standard microbiological culture-based techniques and by a quantitative PCR (qPCR) assay coupled with a propidium monoazide treatment. Decreases in VC populations and the appearance of viable but non culturable (VBNC) populations were observed in response to treatment with the disinfectants. An 8 month sampling campaign in 4 smoked salmon processing plants was also carried out to detect L. monocytogenes in environmental samples. VBNC cells were detected mainly after the cleaning and disinfection operations. This study showed that industrial disinfectants did not inactivate all L. monocytogenes cells on inert surfaces. The presence of VBNC populations of L. monocytogenes in the smoked salmon processing environment is a public health concern."
